loja,sku,produto,categoria,regiao,ano,mes,giro_medio_diario,fator_sazonal,saldo_atual,lead_time_dias,cobertura_dias,ruptura,qtd_reposicao
Loja Natal,SKU-100,Havaianas Top,Sandálias,NE,2026,6,15.0,1.6,88,14,4.9,ATENCAO,278
Loja Natal,SKU-100,Havaianas Top,Sandálias,NE,2026,7,16.8,1.8,20,14,1.0,RUPTURA,348
Loja Natal,SKU-100,Havaianas Top,Sandálias,NE,2026,8,16.0,1.7,,,
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2025,6,17.0,1.6,92,14,4.8,ATENCAO,305
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2025,7,19.0,1.8,11,14,0.5,RUPTURA,392
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2025,8,18.0,1.7,9,14,0.4,RUPTURA,372
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2025,9,15.5,1.4,65,14,3.8,RUPTURA,315
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2025,10,13.0,1.1,172,14,11.7,NÃO,
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2025,11,12.0,1.0,185,14,12.8,NÃO,
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2026,5,15.8,1.5,118,14,6.2,ATENCAO,285
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2026,6,17.5,1.6,89,14,4.4,ATENCAO,318
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2026,7,19.5,1.8,12,14,0.5,RUPTURA,405
Loja Fortaleza,SKU-100,Havaianas Top,Sandálias,NE,2026,8,18.5,1.7,,,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,3,7.0,1.3,165,14,18.2,NÃO,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,4,8.0,1.5,142,14,13.2,NÃO,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,5,9.0,1.6,112,14,9.8,ATENCAO,185
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,6,9.8,1.7,78,14,6.4,ATENCAO,205
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,7,10.5,1.7,18,14,1.4,RUPTURA,218
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,8,10.0,1.6,16,14,1.3,RUPTURA,208
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,9,8.5,1.4,88,14,8.2,ATENCAO,178
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,10,7.0,1.2,168,14,20.0,NÃO,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2025,11,6.0,1.0,188,14,26.1,NÃO,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2026,4,8.5,1.5,148,14,14.5,NÃO,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2026,5,9.5,1.6,118,14,10.4,NÃO,
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2026,6,10.0,1.7,82,14,6.8,ATENCAO,210
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2026,7,10.8,1.7,15,14,1.2,RUPTURA,225
Loja Porto Alegre,SKU-200,Bota Couro Inverno,Calçados,S,2026,8,10.2,1.6,,,
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2025,5,8.5,1.6,108,14,9.9,ATENCAO,178
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2025,6,9.2,1.7,72,14,6.6,ATENCAO,195
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2025,7,9.8,1.7,22,14,2.1,RUPTURA,205
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2025,8,9.5,1.6,20,14,1.8,RUPTURA,198
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2025,9,8.0,1.4,82,14,8.2,ATENCAO,168
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2025,10,6.5,1.2,158,14,20.3,NÃO,
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2026,5,9.0,1.6,115,14,10.6,NÃO,
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2026,6,9.8,1.7,78,14,6.6,ATENCAO,205
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2026,7,10.2,1.7,22,14,1.9,RUPTURA,215
Loja Floripa,SKU-200,Bota Couro Inverno,Calçados,S,2026,8,9.8,1.6,,,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2025,5,5.5,1.6,125,14,22.7,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2025,6,6.0,1.7,105,14,17.5,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2025,7,6.5,1.7,88,14,13.5,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2025,8,6.2,1.6,72,14,11.6,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2026,5,5.8,1.6,128,14,22.1,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2026,6,6.2,1.7,108,14,17.4,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2026,7,6.8,1.7,88,14,12.9,NÃO,
Loja Batel,SKU-200,Bota Couro Inverno,Calçados,S,2026,8,6.5,1.6,,,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2025,5,8.5,0.8,142,14,13.7,NÃO,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2025,6,8.0,0.7,128,14,12.9,NÃO,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2025,7,7.8,0.7,115,14,12.2,NÃO,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2026,5,8.8,0.8,145,14,13.6,NÃO,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2026,6,8.2,0.7,130,14,13.2,NÃO,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2026,7,8.0,0.7,118,14,12.5,NÃO,
Loja Savassi,SKU-100,Havaianas Top,Sandálias,SE,2026,8,8.2,0.8,,,
