"ID","unidade_ID","periodoPrevisao","receitaPrevista","receitaAnterior","variacaoEsperada","cenarioOtimista","cenarioRealista","cenarioPessimista","driversJson","dataGeracao"
"prev-u078-14d","u078","14d","1580000.00","1410714.29","12.00","1817000.00","1580000.00","1343000.00","[{""driver"":""Campanha Verão Tropical"",""impactoPct"":14},{""driver"":""Atendimento personalizado"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u078-30d","u078","30d","3390000.00","3054054.05","11.00","3898500.00","3390000.00","2881500.00","[{""driver"":""Campanha Verão Tropical"",""impactoPct"":13},{""driver"":""Atendimento personalizado"",""impactoPct"":7}]","2026-08-07T10:00:00"
"prev-u134-14d","u134","14d","1700000.00","1416666.67","20.00","1955000.00","1700000.00","1445000.00","[{""driver"":""Bota Couro Inverno lançamento"",""impactoPct"":25},{""driver"":""Campanha Inverno BR"",""impactoPct"":12}]","2026-08-07T10:00:00"
"prev-u134-30d","u134","30d","3650000.00","3080168.78","18.50","4197500.00","3650000.00","3102500.00","[{""driver"":""Bota Couro Inverno lançamento"",""impactoPct"":22},{""driver"":""Campanha Inverno BR"",""impactoPct"":11}]","2026-08-07T10:00:00"
"prev-u256-14d","u256","14d","1550000.00","1402714.93","10.50","1782500.00","1550000.00","1317500.00","[{""driver"":""Cores neutras outono"",""impactoPct"":12},{""driver"":""Estoque completo"",""impactoPct"":7}]","2026-08-07T10:00:00"
"prev-u256-30d","u256","30d","3320000.00","3031963.47","9.50","3818000.00","3320000.00","2822000.00","[{""driver"":""Cores neutras outono"",""impactoPct"":11},{""driver"":""Estoque completo"",""impactoPct"":6}]","2026-08-07T10:00:00"
"prev-u092-14d","u092","14d","1490000.00","1379629.63","8.00","1713500.00","1490000.00","1266500.00","[{""driver"":""Programa fidelidade"",""impactoPct"":10},{""driver"":""Tendência moda"",""impactoPct"":6}]","2026-08-07T10:00:00"
"prev-u092-30d","u092","30d","3200000.00","2976744.19","7.50","3680000.00","3200000.00","2720000.00","[{""driver"":""Programa fidelidade"",""impactoPct"":9},{""driver"":""Tendência moda"",""impactoPct"":5}]","2026-08-07T10:00:00"
"prev-u295-14d","u295","14d","1650000.00","1410256.41","17.00","1897500.00","1650000.00","1402500.00","[{""driver"":""Campanha nacional setembro"",""impactoPct"":19},{""driver"":""NPS alto"",""impactoPct"":9}]","2026-08-07T10:00:00"
"prev-u295-30d","u295","30d","3540000.00","3064935.06","15.50","4071000.00","3540000.00","3009000.00","[{""driver"":""Campanha nacional setembro"",""impactoPct"":17},{""driver"":""NPS alto"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u115-14d","u115","14d","1720000.00","1376000.00","25.00","1978000.00","1720000.00","1462000.00","[{""driver"":""Verão Tropical crescimento"",""impactoPct"":26},{""driver"":""Sandália feminina destaque"",""impactoPct"":14}]","2026-08-07T10:00:00"
"prev-u115-30d","u115","30d","3690000.00","3000000.00","23.00","4243500.00","3690000.00","3136500.00","[{""driver"":""Verão Tropical crescimento"",""impactoPct"":24},{""driver"":""Sandália feminina destaque"",""impactoPct"":13}]","2026-08-07T10:00:00"
"prev-u234-14d","u234","14d","1480000.00","1389671.36","6.50","1702000.00","1480000.00","1258000.00","[{""driver"":""Renovação mix"",""impactoPct"":8},{""driver"":""Ação local"",""impactoPct"":5}]","2026-08-07T10:00:00"
"prev-u234-30d","u234","30d","3170000.00","3004739.34","5.50","3645500.00","3170000.00","2694500.00","[{""driver"":""Renovação mix"",""impactoPct"":7},{""driver"":""Ação local"",""impactoPct"":4}]","2026-08-07T10:00:00"
"prev-u278-14d","u278","14d","1520000.00","1369369.37","11.00","1748000.00","1520000.00","1292000.00","[{""driver"":""Campanha Verão"",""impactoPct"":13},{""driver"":""Vitrine renovada"",""impactoPct"":7}]","2026-08-07T10:00:00"
"prev-u278-30d","u278","30d","3260000.00","2963636.36","10.00","3749000.00","3260000.00","2771000.00","[{""driver"":""Campanha Verão"",""impactoPct"":12},{""driver"":""Vitrine renovada"",""impactoPct"":6}]","2026-08-07T10:00:00"
"prev-u189-14d","u189","14d","1600000.00","1403508.77","14.00","1840000.00","1600000.00","1360000.00","[{""driver"":""Lojas vizinhas fechadas"",""impactoPct"":15},{""driver"":""Promoção local"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u189-30d","u189","30d","3430000.00","3035398.23","13.00","3944500.00","3430000.00","2915500.00","[{""driver"":""Lojas vizinhas fechadas"",""impactoPct"":14},{""driver"":""Promoção local"",""impactoPct"":7}]","2026-08-07T10:00:00"
"prev-u245-14d","u245","14d","1670000.00","1403361.34","19.00","1920500.00","1670000.00","1419500.00","[{""driver"":""Lançamento Bota Inverno"",""impactoPct"":21},{""driver"":""NPS crescimento"",""impactoPct"":9}]","2026-08-07T10:00:00"
"prev-u245-30d","u245","30d","3580000.00","3046808.51","17.50","4117000.00","3580000.00","3043000.00","[{""driver"":""Lançamento Bota Inverno"",""impactoPct"":19},{""driver"":""NPS crescimento"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u156-14d","u156","14d","1540000.00","1412844.04","9.00","1771000.00","1540000.00","1309000.00","[{""driver"":""Campanha regional"",""impactoPct"":11},{""driver"":""Treinamento equipe"",""impactoPct"":6}]","2026-08-07T10:00:00"
"prev-u156-30d","u156","30d","3300000.00","3055555.56","8.00","3795000.00","3300000.00","2805000.00","[{""driver"":""Campanha regional"",""impactoPct"":10},{""driver"":""Treinamento equipe"",""impactoPct"":5}]","2026-08-07T10:00:00"
"prev-u201-14d","u201","14d","1590000.00","1400881.06","13.50","1828500.00","1590000.00","1351500.00","[{""driver"":""Verão Tropical"",""impactoPct"":15},{""driver"":""Grade sandálias completa"",""impactoPct"":8}]","2026-08-07T10:00:00"
"prev-u201-30d","u201","30d","3410000.00","3044642.86","12.00","3921500.00","3410000.00","2898500.00","[{""driver"":""Verão Tropical"",""impactoPct"":14},{""driver"":""Grade sandálias completa"",""impactoPct"":7}]","2026-08-07T10:00:00"
"prev-u213-14d","u213","14d","1510000.00","1411214.95","7.00","1736500.00","1510000.00","1283500.00","[{""driver"":""Retomada pós-reforma"",""impactoPct"":9},{""driver"":""Marketing local"",""impactoPct"":5}]","2026-08-07T10:00:00"
"prev-u213-30d","u213","30d","3240000.00","3056603.77","6.00","3726000.00","3240000.00","2754000.00","[{""driver"":""Retomada pós-reforma"",""impactoPct"":8},{""driver"":""Marketing local"",""impactoPct"":4}]","2026-08-07T10:00:00"
"prev-u267-14d","u267","14d","950000.00","984455.96","-3.50","1092500.00","950000.00","807500.00","[{""driver"":""Alta inadimplência"",""impactoPct"":-8},{""driver"":""Concorrência"",""impactoPct"":-5}]","2026-08-07T10:00:00"
"prev-u267-30d","u267","30d","2040000.00","2125000.00","-4.00","2346000.00","2040000.00","1734000.00","[{""driver"":""Alta inadimplência"",""impactoPct"":-9},{""driver"":""Concorrência"",""impactoPct"":-6}]","2026-08-07T10:00:00"
"prev-u178-14d","u178","14d","1050000.00","1034482.76","1.50","1207500.00","1050000.00","892500.00","[{""driver"":""Recuperação gradual"",""impactoPct"":5},{""driver"":""Campanha moderada"",""impactoPct"":3}]","2026-08-07T10:00:00"
"prev-u178-30d","u178","30d","2250000.00","2227722.77","1.00","2587500.00","2250000.00","1912500.00","[{""driver"":""Recuperação gradual"",""impactoPct"":4},{""driver"":""Campanha moderada"",""impactoPct"":2}]","2026-08-07T10:00:00"
"prev-u289-14d","u289","14d","880000.00","926315.79","-5.00","1012000.00","880000.00","748000.00","[{""driver"":""Problemas operacionais"",""impactoPct"":-10},{""driver"":""Equipe desfalcada"",""impactoPct"":-6}]","2026-08-07T10:00:00"
"prev-u289-30d","u289","30d","1890000.00","2000000.00","-5.50","2173500.00","1890000.00","1606500.00","[{""driver"":""Problemas operacionais"",""impactoPct"":-11},{""driver"":""Equipe desfalcada"",""impactoPct"":-7}]","2026-08-07T10:00:00"
"prev-u147-14d","u147","14d","780000.00","816753.93","-4.50","897000.00","780000.00","663000.00","[{""driver"":""Desvios preço detectados"",""impactoPct"":-7},{""driver"":""NPS baixo"",""impactoPct"":-5}]","2026-08-07T10:00:00"
"prev-u147-30d","u147","30d","1670000.00","1757894.74","-5.00","1920500.00","1670000.00","1419500.00","[{""driver"":""Desvios preço detectados"",""impactoPct"":-8},{""driver"":""NPS baixo"",""impactoPct"":-6}]","2026-08-07T10:00:00"
