ID,unidade_ID,periodo,faturamento,ticketMedio,qtdTransacoes,crescimentoMoM,crescimentoYoY,nps,statusKPI_code,margemBruta,cmv,royalties,inadimplencia,fluxoClientes,conversao
kpi-u134-202601,u134,202601,3133227.27,2998.5,14250,0.69,4.14,62.0,NORMAL,37.9,62.1,156661.36,1.6,21368,60.2
kpi-u134-202602,u134,202602,3028827.27,2938.5,14059,0.29,1.74,61.2,NORMAL,38.1,61.9,151441.36,1.8,21082,60.1
kpi-u134-202603,u134,202603,3097731.82,2961.0,14264,0.44,2.64,61.5,NORMAL,38.05,61.95,154886.59,1.75,21395,60.0
kpi-u134-202604,u134,202604,3212304.55,3004.5,14577,0.73,4.38,62.1,NORMAL,37.85,62.15,160615.23,1.8,21859,60.3
kpi-u134-202605,u134,202605,3073527.27,2929.5,14305,0.23,1.38,61.1,NORMAL,38.1,61.9,153676.36,1.8,21450,60.1
kpi-u134-202606,u134,202606,3260672.73,3006.0,14795,0.74,4.44,62.1,NORMAL,37.75,62.25,163033.64,1.7,22186,60.2
kpi-u256-202601,u256,202601,3358363.64,3099.95,14768,1.08,6.48,64.0,NORMAL,38.3,61.7,167918.18,1.5,22145,60.7
kpi-u256-202602,u256,202602,3139950.0,2987.86,14332,0.34,2.04,62.5,NORMAL,38.2,61.8,156997.5,1.4,21491,60.6
kpi-u256-202603,u256,202603,3220404.55,3016.64,14564,0.53,3.18,62.9,NORMAL,37.95,62.05,161020.23,1.4,21845,60.6
kpi-u256-202604,u256,202604,3171218.18,2984.86,14482,0.32,1.92,62.4,NORMAL,37.95,62.05,158560.91,1.4,21723,60.7
kpi-u256-202605,u256,202605,3223077.27,3000.0,14645,0.42,2.52,62.6,NORMAL,37.95,62.05,161153.86,1.4,21968,60.8
kpi-u256-202606,u256,202606,3153259.09,2959.09,14536,0.15,0.9,62.1,NORMAL,38.3,61.7,157662.95,1.5,21805,60.7
kpi-u092-202601,u092,202601,3230345.45,3030.68,14536,0.79,4.74,61.8,NORMAL,37.5,62.5,161517.27,1.7,20345,59.3
kpi-u092-202602,u092,202602,3046609.09,2937.0,14141,0.16,0.96,60.5,NORMAL,37.4,62.6,152330.45,1.85,19786,59.6
kpi-u092-202603,u092,202603,3030600.0,2923.64,14141,0.07,0.42,60.3,NORMAL,37.3,62.7,151530.0,1.75,19786,59.4
kpi-u092-202604,u092,202604,3061595.45,2932.64,14236,0.13,0.78,60.5,NORMAL,37.3,62.7,153079.77,1.75,19923,59.3
kpi-u092-202605,u092,202605,3285504.55,3032.18,14782,0.8,4.8,61.8,NORMAL,37.5,62.5,164275.23,1.7,20686,59.6
kpi-u092-202606,u092,202606,3032222.73,2907.27,14223,-0.04,-0.24,60.1,NORMAL,37.4,62.6,151611.14,1.85,19909,59.3
kpi-u295-202601,u295,202601,2951590.91,2895.14,13895,0.05,0.3,59.5,NORMAL,37.0,63.0,147579.55,1.95,19445,58.8
kpi-u295-202602,u295,202602,3075831.82,2950.91,14209,0.43,2.58,60.3,NORMAL,37.15,62.85,153791.59,2.1,19882,59.0
kpi-u295-202603,u295,202603,2932786.36,2877.55,13895,-0.07,-0.42,59.3,NORMAL,37.25,62.75,146639.32,1.95,19445,58.9
kpi-u295-202604,u295,202604,2956854.55,2884.91,13977,-0.02,-0.12,59.4,NORMAL,37.0,63.0,147842.73,1.95,19568,58.9
kpi-u295-202605,u295,202605,3137290.91,2967.0,14414,0.54,3.24,60.5,NORMAL,37.35,62.65,156864.55,2.05,20168,59.0
kpi-u295-202606,u295,202606,3125195.45,2956.77,14414,0.47,2.82,60.3,NORMAL,37.05,62.95,156259.77,2.0,20168,58.7
kpi-u115-202601,u115,202601,2855045.45,2832.14,13745,-0.23,-1.38,54.9,ATENCAO,35.85,64.15,142752.27,2.35,17864,57.3
kpi-u115-202602,u115,202602,2749309.09,2782.5,13473,-0.58,-3.48,54.2,ATENCAO,35.75,64.25,137465.45,2.5,17509,57.1
kpi-u115-202603,u115,202603,2943463.64,2881.77,13923,0.12,0.72,55.6,ATENCAO,35.65,64.35,147173.18,2.4,18095,57.0
kpi-u115-202604,u115,202604,2826572.73,2826.41,13636,-0.27,-1.62,54.9,ATENCAO,35.6,64.4,141328.64,2.35,17727,57.4
kpi-u115-202605,u115,202605,2974309.09,2903.05,13977,0.27,1.62,55.9,ATENCAO,35.55,64.45,148715.45,2.3,18164,57.2
kpi-u115-202606,u115,202606,2846454.55,2842.09,13664,-0.16,-0.96,55.1,ATENCAO,35.75,64.25,142322.73,2.5,17755,57.3
kpi-u234-202601,u234,202601,1443272.73,2669.73,7377,-0.22,-1.32,52.2,ATENCAO,35.0,65.0,57730.91,2.45,8850,56.3
kpi-u234-202602,u234,202602,1357568.18,2593.91,7132,-0.79,-4.74,51.0,ATENCAO,35.35,64.65,54302.73,2.55,8550,56.1
kpi-u234-202603,u234,202603,1467368.18,2700.27,7405,0.01,0.06,52.6,ATENCAO,35.1,64.9,58694.73,2.55,8877,56.1
kpi-u234-202604,u234,202604,1450186.36,2688.27,7350,-0.08,-0.48,52.4,ATENCAO,35.15,64.85,58007.45,2.6,8809,56.2
kpi-u234-202605,u234,202605,1434518.18,2677.64,7309,-0.16,-0.96,52.3,ATENCAO,34.95,65.05,57380.73,2.4,8768,56.4
kpi-u234-202606,u234,202606,1454181.82,2700.27,7350,0.01,0.06,52.6,ATENCAO,35.2,64.8,58167.27,2.4,8809,56.4
kpi-u278-202601,u278,202601,1357745.45,2584.09,7159,-0.24,-1.44,50.3,ATENCAO,34.9,65.1,54309.82,2.9,7868,55.0
kpi-u278-202602,u278,202602,1321704.55,2554.64,7050,-0.47,-2.82,49.9,ATENCAO,34.85,65.15,52868.18,2.85,7745,54.9
kpi-u278-202603,u278,202603,1390663.64,2626.5,7214,0.09,0.54,51.0,ATENCAO,34.95,65.05,55626.55,2.95,7923,54.9
kpi-u278-202604,u278,202604,1292672.73,2536.77,6955,-0.61,-3.66,49.6,ATENCAO,34.7,65.3,51706.91,2.95,7650,55.1
kpi-u278-202605,u278,202605,1347981.82,2595.68,7077,-0.15,-0.9,50.5,ATENCAO,34.7,65.3,53919.27,2.95,7773,55.1
kpi-u278-202606,u278,202606,1332122.73,2585.45,7023,-0.23,-1.38,50.3,ATENCAO,34.95,65.05,53284.91,2.95,7718,55.0
kpi-u189-202601,u189,202601,1316181.82,2542.91,7064,-0.34,-2.04,49.3,ATENCAO,34.4,65.6,52647.27,3.05,7759,54.7
kpi-u189-202602,u189,202602,1234840.91,2469.82,6818,-0.92,-5.52,48.2,ATENCAO,34.25,65.75,49393.64,2.9,7500,54.8
kpi-u189-202603,u189,202603,1242763.64,2483.59,6818,-0.81,-4.86,48.4,ATENCAO,34.65,65.35,49710.55,3.05,7500,54.9
kpi-u189-202604,u189,202604,1301645.45,2547.95,6968,-0.3,-1.8,49.4,ATENCAO,34.35,65.65,52065.82,3.0,7664,54.7
kpi-u189-202605,u189,202605,1278627.27,2531.59,6886,-0.43,-2.58,49.1,ATENCAO,34.6,65.4,51145.09,3.0,7568,54.8
kpi-u189-202606,u189,202606,1211590.91,2471.05,6682,-0.91,-5.46,48.2,ATENCAO,34.45,65.55,48463.64,3.1,7350,54.9
kpi-u245-202601,u245,202601,1198090.91,2426.05,6736,-1.05,-6.3,47.1,ATENCAO,34.05,65.95,47923.64,3.2,7405,54.3
kpi-u245-202602,u245,202602,1295645.45,2530.23,6982,-0.21,-1.26,48.8,ATENCAO,34.05,65.95,51825.82,3.2,7677,54.1
kpi-u245-202603,u245,202603,1181277.27,2423.45,6641,-1.07,-6.42,47.1,ATENCAO,33.85,66.15,47251.09,3.0,7295,54.3
kpi-u245-202604,u245,202604,1255513.64,2505.41,6832,-0.41,-2.46,48.4,ATENCAO,34.2,65.8,50220.55,3.1,7514,54.2
kpi-u245-202605,u245,202605,1246759.09,2504.18,6791,-0.42,-2.52,48.4,ATENCAO,34.15,65.85,49870.36,3.05,7459,54.3
kpi-u245-202606,u245,202606,1189363.64,2453.32,6614,-0.83,-4.98,47.5,ATENCAO,34.1,65.9,47574.55,3.0,7268,54.4
kpi-u156-202601,u156,202601,2706000.0,2750.73,13418,-0.62,-3.72,53.4,ATENCAO,36.3,63.7,135300.0,2.3,17441,58.1
kpi-u156-202602,u156,202602,2697886.36,2750.73,13377,-0.62,-3.72,53.4,ATENCAO,36.0,64.0,134894.32,2.25,17386,57.9
kpi-u156-202603,u156,202603,2850954.55,2831.73,13732,-0.04,-0.24,54.5,ATENCAO,35.9,64.1,142547.73,2.15,17850,57.8
kpi-u156-202604,u156,202604,2670640.91,2745.14,13268,-0.66,-3.96,53.3,ATENCAO,36.0,64.0,133532.05,2.25,17236,57.9
kpi-u156-202605,u156,202605,2880831.82,2855.59,13759,0.13,0.78,54.9,ATENCAO,36.15,63.85,144041.59,2.15,17877,58.0
kpi-u156-202606,u156,202606,2734486.36,2785.64,13391,-0.37,-2.22,53.9,ATENCAO,36.25,63.75,136724.32,2.25,17400,57.9
kpi-u201-202601,u201,202601,1192909.09,2420.18,6723,-0.98,-5.88,46.4,ATENCAO,33.55,66.45,47716.36,3.2,6723,53.7
kpi-u201-202602,u201,202602,1234527.27,2470.5,6818,-0.57,-3.42,47.3,ATENCAO,33.85,66.15,49381.09,3.25,6818,53.6
kpi-u201-202603,u201,202603,1263395.45,2508.55,6873,-0.26,-1.56,47.9,ATENCAO,33.9,66.1,50535.82,3.3,6873,53.5
kpi-u201-202604,u201,202604,1240131.82,2493.82,6777,-0.38,-2.28,47.6,ATENCAO,34.0,66.0,49605.27,3.4,6777,53.9
kpi-u201-202605,u201,202605,1190877.27,2452.09,6627,-0.72,-4.32,47.0,ATENCAO,33.55,66.45,47635.09,3.2,6627,53.5
kpi-u201-202606,u201,202606,1144636.36,2412.82,6464,-1.04,-6.24,46.3,ATENCAO,33.95,66.05,45785.45,3.35,6464,53.7
kpi-u213-202601,u213,202601,1233600.0,2461.23,6832,-0.52,-3.12,46.6,ATENCAO,33.4,66.6,49344.0,3.55,6832,53.2
kpi-u213-202602,u213,202602,1196345.45,2433.27,6709,-0.75,-4.5,46.1,ATENCAO,33.5,66.5,47853.82,3.4,6709,52.9
kpi-u213-202603,u213,202603,1167886.36,2413.91,6600,-0.91,-5.46,45.8,ATENCAO,33.3,66.7,46715.45,3.45,6600,52.9
kpi-u213-202604,u213,202604,1148004.55,2403.0,6518,-1.0,-6.0,45.6,ATENCAO,33.6,66.4,45920.18,3.5,6518,53.0
kpi-u213-202605,u213,202605,1178331.82,2444.32,6573,-0.66,-3.96,46.3,ATENCAO,33.35,66.65,47133.27,3.5,6573,53.0
kpi-u213-202606,u213,202606,1100890.91,2372.73,6327,-1.25,-7.5,45.1,ATENCAO,33.35,66.65,44035.64,3.5,6327,53.1
kpi-u267-202601,u267,202601,1203136.36,2390.05,6859,-0.82,-4.92,40.8,CRITICO,31.7,68.3,48125.45,4.4,6164,50.0
kpi-u267-202602,u267,202602,1187550.0,2388.82,6777,-0.83,-4.98,40.7,CRITICO,31.4,68.6,47502.0,4.35,6095,50.4
kpi-u267-202603,u267,202603,1077122.73,2289.14,6423,-1.68,-10.08,39.0,CRITICO,31.35,68.65,43084.91,4.3,5768,50.2
kpi-u267-202604,u267,202604,1168172.73,2398.23,6641,-0.75,-4.5,40.9,CRITICO,31.55,68.45,46726.91,4.25,5973,50.0
kpi-u267-202605,u267,202605,1091195.45,2331.41,6382,-1.32,-7.92,39.8,CRITICO,31.4,68.6,43647.82,4.35,5741,50.1
kpi-u267-202606,u267,202606,1109740.91,2365.36,6395,-1.03,-6.18,40.3,CRITICO,31.25,68.75,44389.64,4.2,5755,50.0
kpi-u178-202601,u178,202601,2461090.91,2605.91,12873,-1.9,-11.4,37.2,CRITICO,33.2,66.8,123054.55,3.5,14155,53.4
kpi-u178-202602,u178,202602,2477209.09,2633.86,12832,-1.69,-10.14,37.6,CRITICO,33.1,66.9,123860.45,3.65,14114,53.2
kpi-u178-202603,u178,202603,2564400.0,2700.27,12955,-1.19,-7.14,38.6,CRITICO,32.95,67.05,128220.0,3.5,14250,53.2
kpi-u178-202604,u178,202604,2383840.91,2623.23,12395,-1.77,-10.62,37.5,CRITICO,33.35,66.65,119192.05,3.65,13623,53.4
kpi-u178-202605,u178,202605,2437377.27,2672.32,12436,-1.4,-8.4,38.2,CRITICO,33.25,66.75,121868.86,3.55,13677,53.5
kpi-u178-202606,u178,202606,2407950.0,2676.41,12273,-1.37,-8.22,38.3,CRITICO,33.0,67.0,120397.5,3.55,13500,53.2
kpi-u289-202601,u289,202601,1020027.27,2163.82,6423,-2.21,-13.26,34.2,CRITICO,29.7,70.3,40801.09,5.25,5127,47.5
kpi-u289-202602,u289,202602,1089409.09,2256.55,6586,-1.37,-8.22,35.9,CRITICO,29.6,70.4,43576.36,5.15,5264,47.3
kpi-u289-202603,u289,202603,992863.64,2173.77,6232,-2.12,-12.72,34.4,CRITICO,29.55,70.45,39714.55,5.1,4977,47.3
kpi-u289-202604,u289,202604,1028372.73,2232.27,6286,-1.59,-9.54,35.4,CRITICO,29.7,70.3,41134.91,5.25,5018,47.6
kpi-u289-202605,u289,202605,940636.36,2154.95,5945,-2.29,-13.74,34.0,CRITICO,29.85,70.15,37625.45,5.15,4745,47.4
kpi-u289-202606,u289,202606,1017913.64,2262.14,6136,-1.32,-7.92,36.0,CRITICO,29.85,70.15,40716.55,5.15,4909,47.3
kpi-u147-202601,u147,202601,2575800.0,2597.86,13527,-3.46,-20.76,41.1,CRITICO,32.6,67.4,128790.0,4.2,13527,51.7
kpi-u147-202602,u147,202602,2718518.18,2709.55,13677,-2.62,-15.72,42.8,CRITICO,32.25,67.75,135925.91,4.1,13677,51.9
kpi-u147-202603,u147,202603,2555672.73,2667.0,13064,-2.94,-17.64,42.1,CRITICO,32.45,67.55,127783.64,4.3,13064,51.8
kpi-u147-202604,u147,202604,2471604.55,2663.05,12655,-2.97,-17.82,42.1,CRITICO,32.3,67.7,123580.23,4.15,12655,51.7
kpi-u147-202605,u147,202605,2354440.91,2639.18,12164,-3.15,-18.9,41.7,CRITICO,32.7,67.3,117722.05,4.3,12164,51.6
kpi-u147-202606,u147,202606,2214245.45,2599.23,11618,-3.45,-20.7,41.1,CRITICO,32.25,67.75,110712.27,4.1,11618,51.9
kpi-u163-202601,u163,202601,2936181.82,2664.27,15027,1.20,6.50,61.2,ESTAVEL,40.0,60.0,176170.91,1.55,27041,62.3
kpi-u163-202602,u163,202602,2982818.18,2688.0,15136,1.59,7.20,62.0,ESTAVEL,40.15,59.85,178969.09,1.7,27245,62.2
kpi-u163-202603,u163,202603,3070636.36,2731.91,15327,2.94,8.40,63.1,ESTAVEL,40.05,59.95,184238.18,1.6,27586,62.3
kpi-u163-202604,u163,202604,2997954.55,2713.09,15068,-2.37,5.80,61.8,ESTAVEL,40.4,59.6,179877.27,1.7,27123,62.4
kpi-u163-202605,u163,202605,3114954.55,2756.59,15409,3.90,9.10,64.2,ESTAVEL,40.15,59.85,186897.27,1.7,27736,62.4
kpi-u163-202606,u163,202606,3022772.73,2719.5,15150,-2.96,6.20,62.5,ESTAVEL,40.3,59.7,181366.36,1.6,27259,62.4
kpi-u114-202601,u114,202601,2487954.55,2572.5,13200,0.85,4.20,58.3,ESTAVEL,38.9,61.1,124397.73,1.8,21109,60.5
kpi-u114-202602,u114,202602,2525863.64,2592.55,13282,1.52,5.10,59.1,ESTAVEL,38.9,61.1,126293.18,1.8,21245,60.4
kpi-u114-202603,u114,202603,2605636.36,2637.95,13473,3.16,6.30,60.4,ESTAVEL,39.05,60.95,130281.82,1.95,21545,60.3
kpi-u114-202604,u114,202604,2541000.0,2607.55,13282,-2.49,4.80,58.9,ESTAVEL,38.9,61.1,127050.0,1.8,21245,60.4
kpi-u114-202605,u114,202605,2643681.82,2654.73,13582,4.04,7.20,61.2,ESTAVEL,38.65,61.35,132184.09,1.8,21723,60.3
kpi-u114-202606,u114,202606,2576181.82,2622.68,13405,-2.55,5.40,59.7,ESTAVEL,38.65,61.35,128809.09,1.8,21436,60.5
