ID,unidade_ID,periodo,categoria,faturamento,margemBruta,qtdProdutos,participacao,meta,subCategoria,repeatPurchaseRate,loyaltyParticipation,conversionRate
kc-u023-202606-BEL,u023,202606,Beleza,1300050.0,55.3,34,18.0,53.1,Makeup,42.3,55.3,34.4
kc-u045-202601-MOD,u045,202601,Moda,3954150.0,48.4,47,58.0,46.5,Footwear,28.1,37.1,28.1
kc-u045-202601-ACE,u045,202601,Acessórios,1363500.0,38.4,40,20.0,36.2,Bags & Leather,35.6,45.6,31.3
kc-u045-202601-BEL,u045,202601,Beleza,1227150.0,54.9,35,18.0,53.1,Wellness,41.7,54.7,34.1
kc-u045-202602-MOD,u045,202602,Moda,3797550.0,48.7,45,58.0,46.5,Apparel,28.1,37.1,28.1
kc-u045-202602-ACE,u045,202602,Acessórios,1309500.0,38.3,38,20.0,36.2,Sunglasses,33.8,43.8,30.4
kc-u045-202602-BEL,u045,202602,Beleza,1178550.0,55.2,33,18.0,53.1,Wellness,43.2,56.2,34.8
kc-u045-202603-MOD,u045,202603,Moda,4032450.0,48.2,48,58.0,46.5,Apparel,27.8,36.8,27.9
kc-u045-202603-ACE,u045,202603,Acessórios,1390500.0,38.3,41,20.0,36.2,Sunglasses,35.3,45.3,31.1
kc-u045-202603-BEL,u045,202603,Beleza,1251450.0,54.9,36,18.0,53.1,Wellness,43.2,56.2,34.8
kc-u045-202604-MOD,u045,202604,Moda,3875850.0,48.5,46,58.0,46.5,Footwear,28.1,37.1,28.1
kc-u045-202604-ACE,u045,202604,Acessórios,1336500.0,38.2,39,20.0,36.2,Bags & Leather,35.9,45.9,31.4
kc-u045-202604-BEL,u045,202604,Beleza,1202850.0,54.8,34,18.0,53.1,Skin Care,41.4,54.4,33.9
kc-u045-202605-MOD,u045,202605,Moda,3954150.0,48.2,47,58.0,46.5,Footwear,29.6,38.6,28.8
kc-u045-202605-ACE,u045,202605,Acessórios,1363500.0,38.2,40,20.0,36.2,Bags & Leather,33.8,43.8,30.4
kc-u045-202605-BEL,u045,202605,Beleza,1227150.0,54.9,35,18.0,53.1,Skin Care,41.1,54.1,33.8
kc-u045-202606-MOD,u045,202606,Moda,4032450.0,48.3,48,58.0,46.5,Accessories & Jewelry,28.1,37.1,28.1
kc-u045-202606-ACE,u045,202606,Acessórios,1390500.0,38.3,41,20.0,36.2,Bags & Leather,33.5,43.5,30.2
kc-u045-202606-BEL,u045,202606,Beleza,1251450.0,55.0,36,18.0,53.1,Skin Care,41.7,54.7,34.1
kc-u163-202601-MOD,u163,202601,Moda,1798200.0,48.7,46,60.0,46.5,Footwear,28.1,37.1,28.1
kc-u163-202601-ACE,u163,202601,Acessórios,659340.0,37.9,39,22.0,36.2,Bags & Leather,34.4,44.4,30.7
kc-u163-202601-BEL,u163,202601,Beleza,479520.0,54.8,34,16.0,53.1,Wellness,42.3,55.3,34.4
kc-u163-202602-MOD,u163,202602,Moda,1852690.91,48.3,47,60.0,46.5,Apparel,30.2,39.2,29.1
kc-u163-202602-ACE,u163,202602,Acessórios,679320.0,38.0,40,22.0,36.2,Watches & Jewelry,34.4,44.4,30.7
kc-u163-202602-BEL,u163,202602,Beleza,494050.91,55.0,35,16.0,53.1,Wellness,42.6,55.6,34.5
kc-u163-202603-MOD,u163,202603,Moda,1889018.18,48.7,48,60.0,46.5,Apparel,28.4,37.4,28.2
kc-u163-202603-ACE,u163,202603,Acessórios,692640.0,38.0,41,22.0,36.2,Sunglasses,35.6,45.6,31.3
kc-u163-202603-BEL,u163,202603,Beleza,503738.18,55.1,36,16.0,53.1,Skin Care,41.7,54.7,34.1
kc-u163-202604-MOD,u163,202604,Moda,1834527.27,48.2,47,60.0,46.5,Footwear,28.4,37.4,28.2
kc-u163-202604-ACE,u163,202604,Acessórios,672660.0,38.1,40,22.0,36.2,Watches & Jewelry,34.7,44.7,30.9
kc-u163-202604-BEL,u163,202604,Beleza,489207.27,55.2,35,16.0,53.1,Skin Care,40.5,53.5,33.5
kc-u163-202605-MOD,u163,202605,Moda,1761872.73,48.6,45,60.0,46.5,Apparel,28.7,37.7,28.4
kc-u163-202605-ACE,u163,202605,Acessórios,646020.0,37.9,38,22.0,36.2,Sunglasses,34.1,44.1,30.6
kc-u163-202605-BEL,u163,202605,Beleza,469832.73,55.2,33,16.0,53.1,Wellness,42.0,55.0,34.2
kc-u163-202606-MOD,u163,202606,Moda,1816363.64,48.7,47,60.0,46.5,Accessories & Jewelry,28.1,37.1,28.1
kc-u163-202606-ACE,u163,202606,Acessórios,666000.0,38.4,40,22.0,36.2,Bags & Leather,34.4,44.4,30.7
kc-u163-202606-BEL,u163,202606,Beleza,484363.64,55.3,35,16.0,53.1,Makeup,43.2,56.2,34.8
kc-u114-202601-MOD,u114,202601,Moda,1532541.82,45.1,43,61.0,43.2,Accessories & Jewelry,27.8,36.8,27.9
kc-u114-202601-ACE,u114,202601,Acessórios,452225.45,35.6,37,18.0,33.8,Sunglasses,34.1,44.1,30.6
kc-u114-202601-BEL,u114,202601,Beleza,477349.09,52.4,31,19.0,50.3,Skin Care,41.7,54.7,34.1
kc-u114-202602-MOD,u114,202602,Moda,1548180.0,45.1,43,61.0,43.2,Apparel,29.6,38.6,28.8
kc-u114-202602-ACE,u114,202602,Acessórios,456840.0,36.0,37,18.0,33.8,Bags & Leather,34.7,44.7,30.9
kc-u114-202602-BEL,u114,202602,Beleza,482220.0,52.0,31,19.0,50.3,Wellness,42.3,55.3,34.4
kc-u114-202603-MOD,u114,202603,Moda,1595094.55,44.9,44,61.0,43.2,Footwear,29.9,38.9,28.9
kc-u114-202603-ACE,u114,202603,Acessórios,470683.64,36.0,38,18.0,33.8,Watches & Jewelry,35.0,45.0,31.0
kc-u114-202603-BEL,u114,202603,Beleza,496832.73,52.2,32,19.0,50.3,Skin Care,40.8,53.8,33.6
kc-u114-202604-MOD,u114,202604,Moda,1501265.45,45.0,42,61.0,43.2,Accessories & Jewelry,28.7,37.7,28.4
kc-u114-202604-ACE,u114,202604,Acessórios,442996.36,35.9,36,18.0,33.8,Watches & Jewelry,34.1,44.1,30.6
kc-u114-202604-BEL,u114,202604,Beleza,467607.27,52.2,30,19.0,50.3,Wellness,42.9,55.9,34.7
kc-u114-202605-MOD,u114,202605,Moda,1579456.36,45.1,44,61.0,43.2,Footwear,28.1,37.1,28.1
kc-u114-202605-ACE,u114,202605,Acessórios,466069.09,35.9,38,18.0,33.8,Watches & Jewelry,35.3,45.3,31.1
kc-u114-202605-BEL,u114,202605,Beleza,491961.82,52.1,32,19.0,50.3,Skin Care,40.8,53.8,33.6
kc-u114-202606-MOD,u114,202606,Moda,1532541.82,45.2,43,61.0,43.2,Apparel,29.0,38.0,28.5
kc-u114-202606-ACE,u114,202606,Acessórios,452225.45,35.6,37,18.0,33.8,Sunglasses,33.8,43.8,30.4
kc-u114-202606-BEL,u114,202606,Beleza,477349.09,52.5,31,19.0,50.3,Wellness,42.3,55.3,34.4
kc-u225-202601-MOD,u225,202601,Moda,2054258.18,45.3,43,61.0,43.2,Apparel,28.7,37.7,28.4
kc-u225-202601-ACE,u225,202601,Acessórios,673527.27,36.0,37,20.0,33.8,Watches & Jewelry,36.2,46.2,31.6
kc-u225-202601-BEL,u225,202601,Beleza,538821.82,52.2,31,16.0,50.3,Wellness,42.6,55.6,34.5
kc-u225-202602-MOD,u225,202602,Moda,2159067.27,45.4,45,61.0,43.2,Apparel,28.4,37.4,28.2
kc-u225-202602-ACE,u225,202602,Acessórios,707890.91,36.0,39,20.0,33.8,Sunglasses,34.7,44.7,30.9
kc-u225-202602-BEL,u225,202602,Beleza,566312.73,52.5,32,16.0,50.3,Wellness,42.6,55.6,34.5
kc-u225-202603-MOD,u225,202603,Moda,2054258.18,45.1,43,61.0,43.2,Accessories & Jewelry,29.9,38.9,28.9
kc-u225-202603-ACE,u225,202603,Acessórios,673527.27,35.7,37,20.0,33.8,Watches & Jewelry,35.3,45.3,31.1
kc-u225-202603-BEL,u225,202603,Beleza,538821.82,52.0,31,16.0,50.3,Skin Care,42.9,55.9,34.7
kc-u225-202604-MOD,u225,202604,Moda,1991372.73,45.1,41,61.0,43.2,Footwear,27.5,36.5,27.8
kc-u225-202604-ACE,u225,202604,Acessórios,652909.09,35.5,36,20.0,33.8,Bags & Leather,33.8,43.8,30.4
kc-u225-202604-BEL,u225,202604,Beleza,522327.27,52.4,30,16.0,50.3,Skin Care,42.0,55.0,34.2
kc-u225-202605-MOD,u225,202605,Moda,2054258.18,45.3,43,61.0,43.2,Accessories & Jewelry,28.1,37.1,28.1
kc-u225-202605-ACE,u225,202605,Acessórios,673527.27,35.7,37,20.0,33.8,Sunglasses,34.4,44.4,30.7
kc-u225-202605-BEL,u225,202605,Beleza,538821.82,52.3,31,16.0,50.3,Wellness,41.4,54.4,33.9
kc-u225-202606-MOD,u225,202606,Moda,2117143.64,45.3,44,61.0,43.2,Footwear,27.5,36.5,27.8
kc-u225-202606-ACE,u225,202606,Acessórios,694145.45,35.6,38,20.0,33.8,Bags & Leather,33.5,43.5,30.2
kc-u225-202606-BEL,u225,202606,Beleza,555316.36,52.4,32,16.0,50.3,Makeup,40.8,53.8,33.6
kc-u078-202601-MOD,u078,202601,Moda,2163010.91,45.2,45,62.0,43.2,Apparel,29.6,38.6,28.8
kc-u078-202601-ACE,u078,202601,Acessórios,697745.45,35.5,39,20.0,33.8,Watches & Jewelry,34.1,44.1,30.6
kc-u078-202601-BEL,u078,202601,Beleza,593083.64,52.0,33,17.0,50.3,Skin Care,41.7,54.7,34.1
kc-u078-202602-MOD,u078,202602,Moda,2142212.73,45.1,45,62.0,43.2,Accessories & Jewelry,30.2,39.2,29.1
kc-u078-202602-ACE,u078,202602,Acessórios,691036.36,35.5,39,20.0,33.8,Bags & Leather,35.9,45.9,31.4
kc-u078-202602-BEL,u078,202602,Beleza,587380.91,52.4,32,17.0,50.3,Wellness,42.0,55.0,34.2
kc-u078-202603-MOD,u078,202603,Moda,2163010.91,45.4,45,62.0,43.2,Apparel,27.5,36.5,27.8
kc-u078-202603-ACE,u078,202603,Acessórios,697745.45,35.9,39,20.0,33.8,Bags & Leather,35.3,45.3,31.1
kc-u078-202603-BEL,u078,202603,Beleza,593083.64,52.4,33,17.0,50.3,Skin Care,42.6,55.6,34.5
kc-u078-202604-MOD,u078,202604,Moda,2079818.18,45.4,44,62.0,43.2,Footwear,27.5,36.5,27.8
kc-u078-202604-ACE,u078,202604,Acessórios,670909.09,36.0,38,20.0,33.8,Watches & Jewelry,35.0,45.0,31.0
kc-u078-202604-BEL,u078,202604,Beleza,570272.73,52.1,32,17.0,50.3,Makeup,42.9,55.9,34.7
kc-u078-202605-MOD,u078,202605,Moda,1975827.27,45.1,41,62.0,43.2,Footwear,28.7,37.7,28.4
kc-u078-202605-ACE,u078,202605,Acessórios,637363.64,35.8,36,20.0,33.8,Watches & Jewelry,35.6,45.6,31.3
kc-u078-202605-BEL,u078,202605,Beleza,541759.09,52.0,30,17.0,50.3,Makeup,41.7,54.7,34.1
kc-u078-202606-MOD,u078,202606,Moda,2163010.91,45.1,45,62.0,43.2,Accessories & Jewelry,30.2,39.2,29.1
kc-u078-202606-ACE,u078,202606,Acessórios,697745.45,35.5,39,20.0,33.8,Bags & Leather,35.3,45.3,31.1
kc-u078-202606-BEL,u078,202606,Beleza,593083.64,52.2,33,17.0,50.3,Wellness,41.1,54.1,33.8
kc-u134-202601-MOD,u134,202601,Moda,2054945.45,45.4,45,63.0,43.2,Apparel,28.4,37.4,28.2
kc-u134-202601-ACE,u134,202601,Acessórios,684981.82,35.5,39,21.0,33.8,Bags & Leather,34.7,44.7,30.9
kc-u134-202601-BEL,u134,202601,Beleza,521890.91,52.2,33,16.0,50.3,Makeup,42.0,55.0,34.2
kc-u134-202602-MOD,u134,202602,Moda,2054945.45,45.2,45,63.0,43.2,Footwear,28.7,37.7,28.4
kc-u134-202602-ACE,u134,202602,Acessórios,684981.82,35.7,39,21.0,33.8,Watches & Jewelry,34.1,44.1,30.6
kc-u134-202602-BEL,u134,202602,Beleza,521890.91,52.1,33,16.0,50.3,Wellness,42.9,55.9,34.7
kc-u134-202603-MOD,u134,202603,Moda,1956150.0,45.1,43,63.0,43.2,Apparel,29.0,38.0,28.5
kc-u134-202603-ACE,u134,202603,Acessórios,652050.0,35.7,37,21.0,33.8,Sunglasses,35.6,45.6,31.3
kc-u134-202603-BEL,u134,202603,Beleza,496800.0,52.2,31,16.0,50.3,Makeup,42.6,55.6,34.5
kc-u134-202604-MOD,u134,202604,Moda,1936390.91,45.1,43,63.0,43.2,Accessories & Jewelry,29.0,38.0,28.5
kc-u134-202604-ACE,u134,202604,Acessórios,645463.64,35.6,37,21.0,33.8,Watches & Jewelry,35.0,45.0,31.0
kc-u134-202604-BEL,u134,202604,Beleza,491781.82,52.1,31,16.0,50.3,Makeup,41.7,54.7,34.1
kc-u134-202605-MOD,u134,202605,Moda,1877113.64,45.0,41,63.0,43.2,Accessories & Jewelry,28.4,37.4,28.2
kc-u134-202605-ACE,u134,202605,Acessórios,625704.55,35.5,36,21.0,33.8,Bags & Leather,35.9,45.9,31.4
kc-u134-202605-BEL,u134,202605,Beleza,476727.27,52.2,30,16.0,50.3,Makeup,42.0,55.0,34.2
kc-u134-202606-MOD,u134,202606,Moda,2054945.45,45.0,45,63.0,43.2,Apparel,29.6,38.6,28.8
kc-u134-202606-ACE,u134,202606,Acessórios,684981.82,35.8,39,21.0,33.8,Bags & Leather,33.5,43.5,30.2
kc-u134-202606-BEL,u134,202606,Beleza,521890.91,52.4,33,16.0,50.3,Makeup,40.8,53.8,33.6
kc-u256-202601-MOD,u256,202601,Moda,1941954.55,45.2,44,60.0,43.2,Accessories & Jewelry,28.4,37.4,28.2
kc-u256-202601-ACE,u256,202601,Acessórios,582586.36,35.8,38,18.0,33.8,Bags & Leather,33.8,43.8,30.4
kc-u256-202601-BEL,u256,202601,Beleza,614952.27,52.5,32,19.0,50.3,Wellness,40.5,53.5,33.5
kc-u256-202602-MOD,u256,202602,Moda,1961181.82,44.9,44,60.0,43.2,Accessories & Jewelry,29.6,38.6,28.8
kc-u256-202602-ACE,u256,202602,Acessórios,588354.55,36.0,38,18.0,33.8,Sunglasses,36.2,46.2,31.6
kc-u256-202602-BEL,u256,202602,Beleza,621040.91,52.1,32,19.0,50.3,Wellness,41.4,54.4,33.9
kc-u256-202603-MOD,u256,202603,Moda,1961181.82,45.3,44,60.0,43.2,Apparel,30.2,39.2,29.1
kc-u256-202603-ACE,u256,202603,Acessórios,588354.55,35.8,38,18.0,33.8,Watches & Jewelry,36.2,46.2,31.6
kc-u256-202603-BEL,u256,202603,Beleza,621040.91,52.0,32,19.0,50.3,Makeup,43.2,56.2,34.8
kc-u256-202604-MOD,u256,202604,Moda,1961181.82,45.0,44,60.0,43.2,Footwear,29.0,38.0,28.5
kc-u256-202604-ACE,u256,202604,Acessórios,588354.55,35.9,38,18.0,33.8,Watches & Jewelry,33.8,43.8,30.4
kc-u256-202604-BEL,u256,202604,Beleza,621040.91,52.0,32,19.0,50.3,Skin Care,42.3,55.3,34.4
kc-u256-202605-MOD,u256,202605,Moda,1845818.18,45.3,42,60.0,43.2,Apparel,28.4,37.4,28.2
kc-u256-202605-ACE,u256,202605,Acessórios,553745.45,35.8,36,18.0,33.8,Bags & Leather,35.9,45.9,31.4
kc-u256-202605-BEL,u256,202605,Beleza,584509.09,52.3,30,19.0,50.3,Skin Care,42.3,55.3,34.4
kc-u256-202606-MOD,u256,202606,Moda,1845818.18,45.0,42,60.0,43.2,Apparel,27.5,36.5,27.8
kc-u256-202606-ACE,u256,202606,Acessórios,553745.45,35.7,36,18.0,33.8,Sunglasses,35.9,45.9,31.4
kc-u256-202606-BEL,u256,202606,Beleza,584509.09,52.1,30,19.0,50.3,Wellness,41.4,54.4,33.9
kc-u092-202601-MOD,u092,202601,Moda,1889083.64,45.3,43,62.0,43.2,Apparel,29.3,38.3,28.6
kc-u092-202601-ACE,u092,202601,Acessórios,639850.91,35.9,37,21.0,33.8,Sunglasses,34.4,44.4,30.7
kc-u092-202601-BEL,u092,202601,Beleza,548443.64,52.4,31,18.0,50.3,Skin Care,43.2,56.2,34.8
kc-u092-202602-MOD,u092,202602,Moda,1927636.36,45.0,44,62.0,43.2,Footwear,28.1,37.1,28.1
kc-u092-202602-ACE,u092,202602,Acessórios,652909.09,35.5,38,21.0,33.8,Watches & Jewelry,35.9,45.9,31.4
kc-u092-202602-BEL,u092,202602,Beleza,559636.36,52.5,32,18.0,50.3,Makeup,42.6,55.6,34.5
kc-u092-202603-MOD,u092,202603,Moda,1966189.09,45.1,44,62.0,43.2,Apparel,27.5,36.5,27.8
kc-u092-202603-ACE,u092,202603,Acessórios,665967.27,35.5,38,21.0,33.8,Sunglasses,34.4,44.4,30.7
kc-u092-202603-BEL,u092,202603,Beleza,570829.09,52.1,32,18.0,50.3,Wellness,40.5,53.5,33.5
kc-u092-202604-MOD,u092,202604,Moda,1831254.55,45.3,41,62.0,43.2,Footwear,29.6,38.6,28.8
kc-u092-202604-ACE,u092,202604,Acessórios,620263.64,35.5,36,21.0,33.8,Bags & Leather,34.1,44.1,30.6
kc-u092-202604-BEL,u092,202604,Beleza,531654.55,52.1,30,18.0,50.3,Skin Care,40.8,53.8,33.6
kc-u092-202605-MOD,u092,202605,Moda,1946912.73,45.1,44,62.0,43.2,Footwear,27.8,36.8,27.9
kc-u092-202605-ACE,u092,202605,Acessórios,659438.18,35.5,38,21.0,33.8,Watches & Jewelry,35.0,45.0,31.0
kc-u092-202605-BEL,u092,202605,Beleza,565232.73,52.2,32,18.0,50.3,Wellness,42.6,55.6,34.5
kc-u092-202606-MOD,u092,202606,Moda,1850530.91,45.3,42,62.0,43.2,Accessories & Jewelry,29.3,38.3,28.6
kc-u092-202606-ACE,u092,202606,Acessórios,626792.73,35.5,36,21.0,33.8,Bags & Leather,34.4,44.4,30.7
kc-u092-202606-BEL,u092,202606,Beleza,537250.91,52.1,30,18.0,50.3,Makeup,42.0,55.0,34.2
kc-u295-202601-MOD,u295,202601,Moda,1903200.0,44.9,45,61.0,43.2,Apparel,28.1,37.1,28.1
kc-u295-202601-ACE,u295,202601,Acessórios,655200.0,36.0,39,21.0,33.8,Watches & Jewelry,33.8,43.8,30.4
kc-u295-202601-BEL,u295,202601,Beleza,561600.0,52.5,33,18.0,50.3,Makeup,40.8,53.8,33.6
kc-u295-202602-MOD,u295,202602,Moda,1775100.0,45.3,42,61.0,43.2,Apparel,29.6,38.6,28.8
kc-u295-202602-ACE,u295,202602,Acessórios,611100.0,35.7,36,21.0,33.8,Bags & Leather,33.8,43.8,30.4
kc-u295-202602-BEL,u295,202602,Beleza,523800.0,52.1,31,18.0,50.3,Makeup,41.4,54.4,33.9
kc-u295-202603-MOD,u295,202603,Moda,1884900.0,45.3,45,61.0,43.2,Apparel,28.7,37.7,28.4
kc-u295-202603-ACE,u295,202603,Acessórios,648900.0,35.8,39,21.0,33.8,Sunglasses,35.6,45.6,31.3
kc-u295-202603-BEL,u295,202603,Beleza,556200.0,52.2,32,18.0,50.3,Skin Care,42.3,55.3,34.4
kc-u295-202604-MOD,u295,202604,Moda,1866600.0,45.1,44,61.0,43.2,Apparel,29.9,38.9,28.9
kc-u295-202604-ACE,u295,202604,Acessórios,642600.0,35.6,38,21.0,33.8,Sunglasses,34.4,44.4,30.7
kc-u295-202604-BEL,u295,202604,Beleza,550800.0,52.1,32,18.0,50.3,Skin Care,41.1,54.1,33.8
kc-u295-202605-MOD,u295,202605,Moda,1848300.0,45.0,44,61.0,43.2,Apparel,28.7,37.7,28.4
kc-u295-202605-ACE,u295,202605,Acessórios,636300.0,35.9,38,21.0,33.8,Bags & Leather,35.6,45.6,31.3
kc-u295-202605-BEL,u295,202605,Beleza,545400.0,52.2,32,18.0,50.3,Makeup,41.4,54.4,33.9
kc-u295-202606-MOD,u295,202606,Moda,1884900.0,45.3,45,61.0,43.2,Accessories & Jewelry,27.5,36.5,27.8
kc-u295-202606-ACE,u295,202606,Acessórios,648900.0,35.5,39,21.0,33.8,Sunglasses,35.9,45.9,31.4
kc-u295-202606-BEL,u295,202606,Beleza,556200.0,52.4,32,18.0,50.3,Wellness,43.2,56.2,34.8
kc-u115-202601-MOD,u115,202601,Moda,1786050.0,44.9,43,63.0,43.2,Accessories & Jewelry,28.4,37.4,28.2
kc-u115-202601-ACE,u115,202601,Acessórios,595350.0,35.9,37,21.0,33.8,Watches & Jewelry,35.3,45.3,31.1
kc-u115-202601-BEL,u115,202601,Beleza,510300.0,52.0,31,18.0,50.3,Skin Care,40.5,53.5,33.5
kc-u115-202602-MOD,u115,202602,Moda,1749968.18,45.4,42,63.0,43.2,Accessories & Jewelry,27.8,36.8,27.9
kc-u115-202602-ACE,u115,202602,Acessórios,583322.73,36.0,36,21.0,33.8,Sunglasses,35.3,45.3,31.1
kc-u115-202602-BEL,u115,202602,Beleza,499990.91,52.3,31,18.0,50.3,Makeup,41.4,54.4,33.9
kc-u115-202603-MOD,u115,202603,Moda,1876254.55,44.9,45,63.0,43.2,Footwear,30.2,39.2,29.1
kc-u115-202603-ACE,u115,202603,Acessórios,625418.18,35.7,39,21.0,33.8,Watches & Jewelry,34.7,44.7,30.9
kc-u115-202603-BEL,u115,202603,Beleza,536072.73,52.0,33,18.0,50.3,Skin Care,41.1,54.1,33.8
kc-u115-202604-MOD,u115,202604,Moda,1713886.36,45.1,41,63.0,43.2,Accessories & Jewelry,29.9,38.9,28.9
kc-u115-202604-ACE,u115,202604,Acessórios,571295.45,35.9,36,21.0,33.8,Bags & Leather,35.0,45.0,31.0
kc-u115-202604-BEL,u115,202604,Beleza,489681.82,52.5,30,18.0,50.3,Wellness,41.4,54.4,33.9
kc-u115-202605-MOD,u115,202605,Moda,1840172.73,44.9,44,63.0,43.2,Footwear,29.6,38.6,28.8
kc-u115-202605-ACE,u115,202605,Acessórios,613390.91,35.8,38,21.0,33.8,Sunglasses,34.7,44.7,30.9
kc-u115-202605-BEL,u115,202605,Beleza,525763.64,52.0,32,18.0,50.3,Makeup,41.7,54.7,34.1
kc-u115-202606-MOD,u115,202606,Moda,1786050.0,45.3,43,63.0,43.2,Accessories & Jewelry,28.7,37.7,28.4
kc-u115-202606-ACE,u115,202606,Acessórios,595350.0,35.8,37,21.0,33.8,Watches & Jewelry,33.8,43.8,30.4
kc-u115-202606-BEL,u115,202606,Beleza,510300.0,52.5,31,18.0,50.3,Wellness,40.5,53.5,33.5
kc-u234-202601-MOD,u234,202601,Moda,903381.82,41.9,39,65.0,40.1,Apparel,28.1,37.1,28.1
kc-u234-202601-ACE,u234,202601,Acessórios,236269.09,33.5,34,17.0,31.5,Bags & Leather,35.3,45.3,31.1
kc-u234-202601-BEL,u234,202601,Beleza,208472.73,49.9,27,15.0,47.8,Skin Care,40.5,53.5,33.5
kc-u234-202602-MOD,u234,202602,Moda,894163.64,41.9,38,65.0,40.1,Apparel,29.3,38.3,28.6
kc-u234-202602-ACE,u234,202602,Acessórios,233858.18,33.4,33,17.0,31.5,Watches & Jewelry,35.6,45.6,31.3
kc-u234-202602-BEL,u234,202602,Beleza,206345.45,49.9,27,15.0,47.8,Skin Care,40.8,53.8,33.6
kc-u234-202603-MOD,u234,202603,Moda,949472.73,41.8,41,65.0,40.1,Accessories & Jewelry,29.9,38.9,28.9
kc-u234-202603-ACE,u234,202603,Acessórios,248323.64,33.5,36,17.0,31.5,Sunglasses,35.9,45.9,31.4
kc-u234-202603-BEL,u234,202603,Beleza,219109.09,49.5,28,15.0,47.8,Wellness,40.5,53.5,33.5
kc-u234-202604-MOD,u234,202604,Moda,921818.18,41.8,40,65.0,40.1,Accessories & Jewelry,28.4,37.4,28.2
kc-u234-202604-ACE,u234,202604,Acessórios,241090.91,33.5,35,17.0,31.5,Sunglasses,33.8,43.8,30.4
kc-u234-202604-BEL,u234,202604,Beleza,212727.27,49.6,28,15.0,47.8,Wellness,42.0,55.0,34.2
kc-u234-202605-MOD,u234,202605,Moda,921818.18,42.3,40,65.0,40.1,Apparel,29.9,38.9,28.9
kc-u234-202605-ACE,u234,202605,Acessórios,241090.91,33.4,35,17.0,31.5,Bags & Leather,33.5,43.5,30.2
kc-u234-202605-BEL,u234,202605,Beleza,212727.27,49.6,28,15.0,47.8,Wellness,41.4,54.4,33.9
kc-u234-202606-MOD,u234,202606,Moda,931036.36,41.9,40,65.0,40.1,Accessories & Jewelry,28.4,37.4,28.2
kc-u234-202606-ACE,u234,202606,Acessórios,243501.82,33.7,35,17.0,31.5,Watches & Jewelry,33.8,43.8,30.4
kc-u234-202606-BEL,u234,202606,Beleza,214854.55,49.9,28,15.0,47.8,Skin Care,41.7,54.7,34.1
kc-u278-202601-MOD,u278,202601,Moda,875585.45,41.9,41,63.0,40.1,Footwear,29.9,38.9,28.9
kc-u278-202601-ACE,u278,202601,Acessórios,222370.91,33.6,36,16.0,31.5,Bags & Leather,35.3,45.3,31.1
kc-u278-202601-BEL,u278,202601,Beleza,222370.91,49.8,29,16.0,47.8,Makeup,43.2,56.2,34.8
kc-u278-202602-MOD,u278,202602,Moda,833490.0,42.3,39,63.0,40.1,Accessories & Jewelry,29.6,38.6,28.8
kc-u278-202602-ACE,u278,202602,Acessórios,211680.0,33.7,34,16.0,31.5,Bags & Leather,33.8,43.8,30.4
kc-u278-202602-BEL,u278,202602,Beleza,211680.0,49.7,27,16.0,47.8,Makeup,42.6,55.6,34.5
